team,league,latitude,longitude,altitude,country,city,stadium
Carlisle,E2,54.8925,-2.9329,0.0,England,Carlisle,Unknown
Charlton,E2,51.4794928,0.0527221,0.0,England,Charlton,Unknown
Cheltenham,E2,51.9061781,-2.0602145,0.0,England,Cheltenham,Unknown
Chesterfield,E2,53.2535581,-1.4258193,0.0,England,Chesterfield,Unknown
Colchester,E2,51.923439,0.8976478,0.0,England,Colchester,Unknown
Coventry,E2,52.4481581,-1.4970174,0.0,England,Coventry,Unknown
Crawley Town,E2,51.1191344,-0.191615,0.0,England,Crawley,Unknown
Crewe,E2,53.087402,-2.4357333,0.0,England,Crewe,Unknown
Dag and Red,E2,51.5478,0.159867,0.0,England,Red,Unknown
Derby,E2,52.9149454,-1.4473191,0.0,England,Derby,Unknown
Doncaster,E2,53.5890159,-1.0298081,0.0,England,Doncaster,Unknown
Exeter,E2,50.7093752,-3.4675489,0.0,England,Exeter,Unknown
Fleetwood Town,E2,53.885312,-3.0084092,0.0,England,Fleetwood,Unknown
Forest Green,E2,51.6989868,-2.2377653,0.0,England,Green,Unknown
Gillingham,E2,51.3842253,0.5609658,0.0,England,Gillingham,Unknown
Hartlepool,E2,54.6890602,-1.2126565,0.0,England,Hartlepool,Unknown
Huddersfield,E2,53.6543494,-1.7682999,0.0,England,Huddersfield,Unknown
Hull,E2,53.7462258,-0.3678239,0.0,England,Hull,Unknown
Ipswich,E2,52.0549518,1.1452848,0.0,England,Ipswich,Unknown
Leyton Orient,E2,51.5599794,-0.013533,0.0,England,Orient,Unknown
Lincoln,E2,53.2307,-0.5406,0.0,England,Lincoln,Unknown
Luton,E2,51.8841259,-0.4316701,0.0,England,Luton,Unknown
Mansfield,E2,53.1431,-1.1985,0.0,England,Mansfield,Unknown
Millwall,E2,51.4855805,-0.0513983,0.0,England,Millwall,Unknown
Milton Keynes Dons,E2,52.0460472,-0.7466835,0.0,England,Dons,Unknown
Morecambe,E2,54.0614689,-2.8672646,0.0,England,Morecambe,Unknown
Northampton,E2,52.2352633,-0.9335741,0.0,England,Northampton,Unknown
Notts County,E2,52.9536232,-1.144662,0.0,England,Notts,Unknown
Oldham,E2,53.5475003,-2.1438254,0.0,England,Oldham,Unknown
Oxford,E2,51.7265293,-1.1998903,0.0,England,Oxford,Unknown
Peterboro,E2,52.5695,-0.2405,0.0,England,Peterborough,Unknown
Plymouth,E2,50.3755,-4.1427,0.0,England,Plymouth,Unknown
Port Vale,E2,53.0500906,-2.1926292,0.0,England,Vale,Unknown
Portsmouth,E2,50.8198,-1.088,0.0,England,Portsmouth,Unknown
Preston,E2,53.7722148,-2.6885609,0.0,England,Preston,Unknown
Reading,E2,51.4223346,-0.9831238,0.0,England,Reading,Unknown
Rochdale,E2,53.6207953,-2.1799129,0.0,England,Rochdale,Unknown
Rotherham,E2,53.4267854,-1.362678,0.0,England,Rotherham,Unknown
Scunthorpe,E2,53.5825219,-0.6783354,0.0,England,Scunthorpe,Unknown
Sheffield United,E2,53.4286674,-1.370864,0.0,England,Sheffield,Unknown
Sheffield Weds,E2,53.41138889,-1.500555556,0.0,England,Weds,Unknown
Shrewsbury,E2,52.6865188,-2.7485853,0.0,England,Shrewsbury,Unknown
Southampton,E2,50.9058615,-1.3908774,0.0,England,Southampton,Unknown
Southend,E2,51.5490442,0.7015486,0.0,England,Southend,Unknown
Stevenage,E2,51.8896479,-0.1937405,0.0,England,Stevenage,Unknown
Stockport,E2,53.3996433,-2.1664844,0.0,England,Stockport,Unknown
Sunderland,E2,54.9143953,-1.3882579,0.0,England,Sunderland,Unknown
Swindon,E2,51.607755,-1.7924329,0.0,England,Swindon,Unknown
Tranmere,E2,53.3738916,-3.0317875,0.0,England,Tranmere,Unknown
Walsall,E2,52.5655014,-1.9904976,0.0,England,Walsall,Unknown
Wigan,E2,53.5477333,-2.6540131,0.0,England,Wigan,Unknown
Wolves,E2,52.6076564,-2.1494975,0.0,England,Wolves,Unknown
Wrexham,E2,53.0443125,-2.9766849,0.0,England,Wrexham,Unknown
Wycombe,E2,51.6304108,-0.8002826,0.0,England,Wycombe,Unknown
Yeovil,E2,50.9420451,-2.6318629,0.0,England,Yeovil,Unknown
AFC Wimbledon,E3,51.4315282,-0.1867047,0.0,England,Wimbledon,Unknown
Accrington,E3,53.7654011,-2.370969,0.0,England,Accrington,Unknown
Aldershot,E3,51.2646793,-0.754589,0.0,England,Aldershot,Unknown
Barnet,E3,51.6033587,-0.2242463,0.0,England,Barnet,Unknown
Barrow,E3,54.1109,-3.2261,0.0,England,Barrow,Unknown
Blackpool,E3,53.8047874,-3.0482513,0.0,England,Blackpool,Unknown
Bolton,E3,53.5805396,-2.5356648,0.0,England,Bolton,Unknown
Bradford,E3,53.795,-1.7594,0.0,England,Bradford,Unknown
Bristol Rvs,E3,51.486111,-2.583611,0.0,England,Bristol,Unknown
Bromley,E3,51.4191635,-0.0687969,0.0,England,Bromley,Unknown
Burton,E3,52.8218506,-1.6269256,0.0,England,Burton,Unknown
Bury,E3,53.5805538,-2.2949212,0.0,England,Bury,Unknown
Cambridge,E3,52.2120297,0.1541831,0.0,England,Cambridge,Unknown
Carlisle,E3,54.8925,-2.9329,0.0,England,Carlisle,Unknown
Cheltenham,E3,51.9061781,-2.0602145,0.0,England,Cheltenham,Unknown
Chesterfield,E3,53.2535581,-1.4258193,0.0,England,Chesterfield,Unknown
Colchester,E3,51.923439,0.8976478,0.0,England,Colchester,Unknown
Coventry,E3,52.4481581,-1.4970174,0.0,England,Coventry,Unknown
Crawley Town,E3,51.1191344,-0.191615,0.0,England,Crawley,Unknown
Crewe,E3,53.087402,-2.4357333,0.0,England,Crewe,Unknown
Dag and Red,E3,51.5478,0.159867,0.0,England,Red,Unknown
Doncaster,E3,53.5890159,-1.0298081,0.0,England,Doncaster,Unknown
Exeter,E3,50.7093752,-3.4675489,0.0,England,Exeter,Unknown
Fleetwood Town,E3,53.885312,-3.0084092,0.0,England,Fleetwood,Unknown
Forest Green,E3,51.6989868,-2.2377653,0.0,England,Green,Unknown
Gillingham,E3,51.3842253,0.5609658,0.0,England,Gillingham,Unknown
Grimsby,E3,53.5702297,-0.0465117,0.0,England,Grimsby,Unknown
Harrogate,E3,53.9662795,-1.4991883,0.0,England,Harrogate,Unknown
Hartlepool,E3,54.6890602,-1.2126565,0.0,England,Hartlepool,Unknown
Hereford,E3,52.0567,-2.716,0.0,England,Hereford,Unknown
Leyton Orient,E3,51.5599794,-0.013533,0.0,England,Orient,Unknown
Lincoln,E3,53.2307,-0.5406,0.0,England,Lincoln,Unknown
Luton,E3,51.8841259,-0.4316701,0.0,England,Luton,Unknown
Macclesfield,E3,53.2726576,-2.1597453,0.0,England,Macclesfield,Unknown
Mansfield,E3,53.1431,-1.1985,0.0,England,Mansfield,Unknown
Milton Keynes Dons,E3,52.0460472,-0.7466835,0.0,England,Dons,Unknown
Morecambe,E3,54.0614689,-2.8672646,0.0,England,Morecambe,Unknown
Newport County,E3,51.5842,-2.9977,0.0,England,Newport,Unknown
Northampton,E3,52.2352633,-0.9335741,0.0,England,Northampton,Unknown
Notts County,E3,52.9536232,-1.144662,0.0,England,Notts,Unknown
Oldham,E3,53.5475003,-2.1438254,0.0,England,Oldham,Unknown
Oxford,E3,51.7265293,-1.1998903,0.0,England,Oxford,Unknown
Plymouth,E3,50.3755,-4.1427,0.0,England,Plymouth,Unknown
Port Vale,E3,53.0500906,-2.1926292,0.0,England,Vale,Unknown
Portsmouth,E3,50.8198,-1.088,0.0,England,Portsmouth,Unknown
Rochdale,E3,53.6207953,-2.1799129,0.0,England,Rochdale,Unknown
Rotherham,E3,53.4267854,-1.362678,0.0,England,Rotherham,Unknown
Salford,E3,53.4693387,-2.3751921,0.0,England,Salford,Unknown
Scunthorpe,E3,53.5825219,-0.6783354,0.0,England,Scunthorpe,Unknown
Shrewsbury,E3,52.6865188,-2.7485853,0.0,England,Shrewsbury,Unknown
Southend,E3,51.5490442,0.7015486,0.0,England,Southend,Unknown
