team_name,league,latitude,longitude,altitude,country,city,stadium,status,coord_source
West Ham,E1,51.5074,-0.1278,0.0,England,London,Unknown,success,city_manual
Wigan,E1,53.5477333,-2.6540131,0.0,England,Wigan,Unknown,success,stadium_coordinates
Wolves,E1,52.6076564,-2.1494975,0.0,England,Wolves,Unknown,success,stadium_coordinates
Wrexham,E1,53.0443125,-2.9766849,0.0,England,Wrexham,Unknown,success,stadium_coordinates
Wycombe,E1,51.6304108,-0.8002826,0.0,England,Wycombe,Unknown,success,stadium_coordinates
Yeovil,E1,50.9420451,-2.6318629,0.0,England,Yeovil,Unknown,success,stadium_coordinates
AFC Wimbledon,E2,51.4315282,-0.1867047,0.0,England,Wimbledon,Unknown,success,stadium_coordinates
Accrington,E2,53.7654011,-2.370969,0.0,England,Accrington,Unknown,success,stadium_coordinates
Barnsley,E2,53.5521491,-1.4677429,0.0,England,Barnsley,Unknown,success,stadium_coordinates
Birmingham,E2,52.4797407,-1.9150322,0.0,England,Birmingham,Unknown,success,stadium_coordinates
Blackburn,E2,53.7486,-2.4875,0.0,England,Blackburn,Unknown,success,city_manual
Blackpool,E2,53.8047874,-3.0482513,0.0,England,Blackpool,Unknown,success,stadium_coordinates
Bolton,E2,53.5805396,-2.5356648,0.0,England,Bolton,Unknown,success,stadium_coordinates
Bournemouth,E2,50.7351814,-1.8383279,0.0,England,Bournemouth,Unknown,success,stadium_coordinates
Bradford,E2,53.795,-1.7594,0.0,England,Bradford,Unknown,success,city_manual
Brentford,E2,51.490713,-0.2889802,0.0,England,Brentford,Unknown,success,stadium_coordinates
Brighton,E2,50.8615471,-0.0836931,0.0,England,Brighton,Unknown,success,stadium_coordinates
Bristol City,E2,51.4398694,-2.6203405,0.0,England,Bristol,Unknown,success,stadium_coordinates
Bristol Rvs,E2,51.486111,-2.583611,0.0,England,Bristol,Unknown,success,stadium_coordinates
Burton,E2,52.8218506,-1.6269256,0.0,England,Burton,Unknown,success,stadium_coordinates
Bury,E2,53.5805538,-2.2949212,0.0,England,Bury,Unknown,success,stadium_coordinates
Cambridge,E2,52.2120297,0.1541831,0.0,England,Cambridge,Unknown,success,stadium_coordinates
Cardiff,E2,51.4782485,-3.1826256,0.0,England,Cardiff,Unknown,success,stadium_coordinates
Carlisle,E2,54.8925,-2.9329,0.0,England,Carlisle,Unknown,success,city_manual
Charlton,E2,51.4794928,0.0527221,0.0,England,Charlton,Unknown,success,stadium_coordinates
Cheltenham,E2,51.9061781,-2.0602145,0.0,England,Cheltenham,Unknown,success,stadium_coordinates
Chesterfield,E2,53.2535581,-1.4258193,0.0,England,Chesterfield,Unknown,success,stadium_coordinates
Colchester,E2,51.923439,0.8976478,0.0,England,Colchester,Unknown,success,stadium_coordinates
Coventry,E2,52.4481581,-1.4970174,0.0,England,Coventry,Unknown,success,stadium_coordinates
Crawley Town,E2,51.1191344,-0.191615,0.0,England,Crawley,Unknown,success,stadium_coordinates
Crewe,E2,53.087402,-2.4357333,0.0,England,Crewe,Unknown,success,stadium_coordinates
Dag and Red,E2,51.5478,0.159867,0.0,England,Red,Unknown,success,stadium_coordinates
Derby,E2,52.9149454,-1.4473191,0.0,England,Derby,Unknown,success,stadium_coordinates
Doncaster,E2,53.5890159,-1.0298081,0.0,England,Doncaster,Unknown,success,stadium_coordinates
