team,league,country,city,status,coord_source,latitude,longitude
Accrington,E2,England,Accrington,success,stadium_coordinates,53.7654011,-2.370969
Barnsley,E2,England,Barnsley,success,stadium_coordinates,53.5521491,-1.4677429
Birmingham,E2,England,Birmingham,success,stadium_coordinates,52.4797407,-1.9150322
Blackburn,E2,England,Blackburn,missing,city_manual,53.7486,-2.4875
Blackpool,E2,England,Blackpool,success,stadium_coordinates,53.8047874,-3.0482513
Bolton,E2,England,Bolton,success,stadium_coordinates,53.5805396,-2.5356648
Bournemouth,E2,England,Bournemouth,success,stadium_coordinates,50.7351814,-1.8383279
Bradford,E2,England,Bradford,missing,city_manual,53.795,-1.7594
Brentford,E2,England,Brentford,success,stadium_coordinates,51.490713,-0.2889802
Brighton,E2,England,Brighton,success,stadium_coordinates,50.8615471,-0.0836931
Bristol City,E2,England,Bristol,success,stadium_coordinates,51.4398694,-2.6203405
Bristol Rvs,E2,England,Bristol,success,stadium_coordinates,51.486111,-2.583611
Burton,E2,England,Burton,success,stadium_coordinates,52.8218506,-1.6269256
Bury,E2,England,Bury,success,stadium_coordinates,53.5805538,-2.2949212
Cambridge,E2,England,Cambridge,success,stadium_coordinates,52.2120297,0.1541831
Cardiff,E2,England,Cardiff,success,stadium_coordinates,51.4782485,-3.1826256
Carlisle,E2,England,Carlisle,missing,city_manual,54.8925,-2.9329
Charlton,E2,England,Charlton,success,stadium_coordinates,51.4794928,0.0527221
Cheltenham,E2,England,Cheltenham,success,stadium_coordinates,51.9061781,-2.0602145
Chesterfield,E2,England,Chesterfield,success,stadium_coordinates,53.2535581,-1.4258193
Colchester,E2,England,Colchester,success,stadium_coordinates,51.923439,0.8976478
Coventry,E2,England,Coventry,success,stadium_coordinates,52.4481581,-1.4970174
Crawley Town,E2,England,Crawley,success,stadium_coordinates,51.1191344,-0.191615
Crewe,E2,England,Crewe,success,stadium_coordinates,53.087402,-2.4357333
Dag and Red,E2,England,Red,success,stadium_coordinates,51.5478,0.159867
Derby,E2,England,Derby,success,stadium_coordinates,52.9149454,-1.4473191
Doncaster,E2,England,Doncaster,success,stadium_coordinates,53.5890159,-1.0298081
Exeter,E2,England,Exeter,success,stadium_coordinates,50.7093752,-3.4675489
Fleetwood Town,E2,England,Fleetwood,success,stadium_coordinates,53.885312,-3.0084092
Forest Green,E2,England,Green,success,stadium_coordinates,51.6989868,-2.2377653
